call_site	compose_style	compose_name	auto_mirrored	material_symbols_name	glyph_file	resolution	codepoint	auto_mirror_flag_in_code	svg_variant	upstream_svg_url
Rounded/AudioFile	Rounded	AudioFile	false	audio_file	audio_file	direct	eb82	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/audio_file/materialsymbolsrounded/audio_file_fill1_24px.svg
Rounded/Audiotrack	Rounded	Audiotrack	false	audiotrack	music_note	alias->music_note	e405	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/music_note/materialsymbolsrounded/music_note_fill1_24px.svg
Rounded/BugReport	Rounded	BugReport	false	bug_report	bug_report	direct	e868	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/bug_report/materialsymbolsrounded/bug_report_fill1_24px.svg
Rounded/Download	Rounded	Download	false	download	download	direct	f090	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/download/materialsymbolsrounded/download_fill1_24px.svg
Rounded/EnergySavingsLeaf	Rounded	EnergySavingsLeaf	false	energy_savings_leaf	energy_savings_leaf	direct	ec1a	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/energy_savings_leaf/materialsymbolsrounded/energy_savings_leaf_fill1_24px.svg
Rounded/Error	Rounded	Error	false	error	error	direct	f8b6	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/error/materialsymbolsrounded/error_fill1_24px.svg
Rounded/Folder	Rounded	Folder	false	folder	folder	direct	e2c7	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/folder/materialsymbolsrounded/folder_fill1_24px.svg
Rounded/Info	Rounded	Info	false	info	info	direct	e88e	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/info/materialsymbolsrounded/info_fill1_24px.svg
Rounded/NetworkCheck	Rounded	NetworkCheck	false	network_check	network_check	direct	e640	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/network_check/materialsymbolsrounded/network_check_fill1_24px.svg
Rounded/Palette	Rounded	Palette	false	palette	palette	direct	e40a	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/palette/materialsymbolsrounded/palette_fill1_24px.svg
Rounded/Pause	Rounded	Pause	false	pause	pause	direct	e034	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/pause/materialsymbolsrounded/pause_fill1_24px.svg
Rounded/PlayArrow	Rounded	PlayArrow	false	play_arrow	play_arrow	direct	e037	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/play_arrow/materialsymbolsrounded/play_arrow_fill1_24px.svg
Rounded/QuestionMark	Rounded	QuestionMark	false	question_mark	question_mark	direct	eb8b	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/question_mark/materialsymbolsrounded/question_mark_fill1_24px.svg
